id;tipo;sku-pai;sku;ativo;usado;destaque;ncm;gtin;mpn;nome;seo-tag-title;seo-tag-description;descricao-completa;url-video-youtube;estoque-gerenciado;estoque-quantidade;estoque-situacao-em-estoque;estoque-situacao-sem-estoque;preco-sob-consulta;preco-custo;preco-cheio;preco-promocional;marca;peso-em-kg;altura-em-cm;largura-em-cm;comprimento-em-cm;categoria-nome-nivel-1;categoria-nome-nivel-2;categoria-nome-nivel-3;categoria-nome-nivel-4;categoria-nome-nivel-5;imagem-1;imagem-2;imagem-3;imagem-4;imagem-5;grade-genero;grade-produto-com-uma-cor;grade-produto-com-duas-cores;grade-tamanho-de-anelalianca;grade-tamanho-de-calca;grade-tamanho-de-camisacamiseta;grade-tamanho-de-capacete;grade-tamanho-de-tenis;grade-voltagem;grade-tamanho-juvenil-infantil;url-antiga
;sem-variacao;;ALT10010NF;S;S;N;;;;BOTAO DE COR. SIMPLES C/CALOTA;;;BOTAO DE COR. SIMPLES C/CALOTA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4504.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10010PT;S;S;N;;;;BOTAO DE COR. SIMPLES C/CALOTA;;;BOTAO DE COR. SIMPLES C/CALOTA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4504.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10020BC;S;S;N;;;;BOTAO DE CORRECAO SIMPLES;;;BOTAO DE CORRECAO SIMPLES;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4505.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10020BZ;S;S;N;;;;BOTAO DE CORRECAO SIMPLES;;;BOTAO DE CORRECAO SIMPLES;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4505.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10020NF;S;S;N;;;;BOTAO DE CORRECAO SIMPLES;;;BOTAO DE CORRECAO SIMPLES;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4505.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10020PT;S;S;N;;;;BOTAO DE CORRECAO SIMPLES;;;BOTAO DE CORRECAO SIMPLES;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4505.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1002ABC;S;S;N;;;;BOTAO DE CORRECAO LAMINA;;;BOTAO DE CORRECAO LAMINA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4558.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1002ANF;S;S;N;;;;BOTAO DE CORRECAO LAMINA;;;BOTAO DE CORRECAO LAMINA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4558.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1002APT;S;S;N;;;;BOTAO DE CORRECAO LAMINA;;;BOTAO DE CORRECAO LAMINA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4558.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1002BBC;S;S;N;;;;BOTAO DE COR. LAMINA C/CALOTA;;;BOTAO DE COR. LAMINA C/CALOTA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4506.jpg;;;;;;;;;;;;;;;;
